,data3,data2,hour,PM2.5,newi
1858,Wednsday,3-19-2014,9,83,12
1860,Wednsday,3-19-2014,11,77,12
1862,Wednsday,3-19-2014,13,72,12
1864,Wednsday,3-19-2014,15,69,12
1866,Wednsday,3-19-2014,17,49,12
1868,Wednsday,3-19-2014,19,40,12
1870,Wednsday,3-19-2014,21,14,12
1872,Wednsday,3-19-2014,23,17,12
2018,Wednsday,3-26-2014,1,182,13
2020,Wednsday,3-26-2014,3,248,13
2022,Wednsday,3-26-2014,5,250,13
2024,Wednsday,3-26-2014,7,258,13
2026,Wednsday,3-26-2014,9,284,13
2028,Wednsday,3-26-2014,11,322,13
2030,Wednsday,3-26-2014,13,318,13
2032,Wednsday,3-26-2014,15,322,13
2034,Wednsday,3-26-2014,17,272,13
2036,Wednsday,3-26-2014,19,325,13
2038,Wednsday,3-26-2014,21,374,13
2040,Wednsday,3-26-2014,23,370,13
2186,Wednsday,4-2-2014,1,102,14
2188,Wednsday,4-2-2014,3,109,14
2190,Wednsday,4-2-2014,5,115,14
2192,Wednsday,4-2-2014,7,126,14
2194,Wednsday,4-2-2014,9,156,14
2196,Wednsday,4-2-2014,11,74,14
2198,Wednsday,4-2-2014,13,67,14
2200,Wednsday,4-2-2014,15,78,14
2202,Wednsday,4-2-2014,17,132,14
2204,Wednsday,4-2-2014,19,130,14
2206,Wednsday,4-2-2014,21,101,14
2208,Wednsday,4-2-2014,23,64,14
2354,Wednsday,4-9-2014,1,148,15
2356,Wednsday,4-9-2014,3,149,15
2358,Wednsday,4-9-2014,5,154,15
2360,Wednsday,4-9-2014,7,182,15
2362,Wednsday,4-9-2014,9,179,15
2364,Wednsday,4-9-2014,11,169,15
2366,Wednsday,4-9-2014,13,97,15
2368,Wednsday,4-9-2014,15,51,15
2370,Wednsday,4-9-2014,17,70,15
2372,Wednsday,4-9-2014,19,89,15
2374,Wednsday,4-9-2014,21,112,15
2376,Wednsday,4-9-2014,23,116,15
2522,Wednsday,4-16-2014,1,37,16
2524,Wednsday,4-16-2014,3,43,16
2526,Wednsday,4-16-2014,5,52,16
2528,Wednsday,4-16-2014,7,60,16
2530,Wednsday,4-16-2014,9,86,16
2532,Wednsday,4-16-2014,11,60,16
2534,Wednsday,4-16-2014,13,70,16
2536,Wednsday,4-16-2014,15,62,16
2538,Wednsday,4-16-2014,17,57,16
2540,Wednsday,4-16-2014,19,65,16
2542,Wednsday,4-16-2014,21,73,16
2544,Wednsday,4-16-2014,23,81,16
2690,Wednsday,4-23-2014,1,83,17
2692,Wednsday,4-23-2014,3,94,17
2694,Wednsday,4-23-2014,5,106,17
2696,Wednsday,4-23-2014,7,123,17
2698,Wednsday,4-23-2014,9,154,17
2700,Wednsday,4-23-2014,11,193,17
2702,Wednsday,4-23-2014,13,198,17
2704,Wednsday,4-23-2014,15,177,17
2706,Wednsday,4-23-2014,17,164,17
2708,Wednsday,4-23-2014,19,141,17
2710,Wednsday,4-23-2014,21,116,17
2712,Wednsday,4-23-2014,23,72,17
2864,Wednsday,4-30-2014,7,116,18
2866,Wednsday,4-30-2014,9,161,18
2868,Wednsday,4-30-2014,11,184,18
2870,Wednsday,4-30-2014,13,152,18
2872,Wednsday,4-30-2014,15,143,18
2874,Wednsday,4-30-2014,17,110,18
2876,Wednsday,4-30-2014,19,114,18
2878,Wednsday,4-30-2014,21,89,18
2880,Wednsday,4-30-2014,23,88,18
3026,Wednsday,5-7-2014,1,130,19
3028,Wednsday,5-7-2014,3,132,19
3030,Wednsday,5-7-2014,5,136,19
3032,Wednsday,5-7-2014,7,122,19
3034,Wednsday,5-7-2014,9,56,19
3036,Wednsday,5-7-2014,11,23,19
3038,Wednsday,5-7-2014,13,26,19
3040,Wednsday,5-7-2014,15,19,19
3042,Wednsday,5-7-2014,17,14,19
3044,Wednsday,5-7-2014,19,46,19
3046,Wednsday,5-7-2014,21,51,19
3048,Wednsday,5-7-2014,23,33,19
3194,Wednsday,5-14-2014,1,34,20
3196,Wednsday,5-14-2014,3,25,20
3198,Wednsday,5-14-2014,5,21,20
3200,Wednsday,5-14-2014,7,16,20
3202,Wednsday,5-14-2014,9,12,20
3204,Wednsday,5-14-2014,11,91,20
3206,Wednsday,5-14-2014,13,11,20
3208,Wednsday,5-14-2014,15,11,20
3210,Wednsday,5-14-2014,17,10,20
3212,Wednsday,5-14-2014,19,22,20
3214,Wednsday,5-14-2014,21,27,20
3216,Wednsday,5-14-2014,23,27,20
3368,Wednsday,5-21-2014,7,78,21
3370,Wednsday,5-21-2014,9,89,21
3372,Wednsday,5-21-2014,11,101,21
3374,Wednsday,5-21-2014,13,106,21
3376,Wednsday,5-21-2014,15,126,21
3378,Wednsday,5-21-2014,17,125,21
3380,Wednsday,5-21-2014,19,137,21
3382,Wednsday,5-21-2014,21,154,21
3384,Wednsday,5-21-2014,23,174,21
3530,Wednsday,5-28-2014,1,22,22
3532,Wednsday,5-28-2014,3,43,22
3534,Wednsday,5-28-2014,5,39,22
3536,Wednsday,5-28-2014,7,40,22
3538,Wednsday,5-28-2014,9,52,22
3540,Wednsday,5-28-2014,11,20,22
3542,Wednsday,5-28-2014,13,23,22
3544,Wednsday,5-28-2014,15,32,22
3546,Wednsday,5-28-2014,17,44,22
3548,Wednsday,5-28-2014,19,30,22
3550,Wednsday,5-28-2014,21,34,22
3552,Wednsday,5-28-2014,23,43,22
3698,Wednsday,6-4-2014,1,50,23
3700,Wednsday,6-4-2014,3,53,23
3702,Wednsday,6-4-2014,5,70,23
3704,Wednsday,6-4-2014,7,83,23
3706,Wednsday,6-4-2014,9,96,23
3708,Wednsday,6-4-2014,11,61,23
3710,Wednsday,6-4-2014,13,42,23
3712,Wednsday,6-4-2014,15,53,23
3714,Wednsday,6-4-2014,17,46,23
3716,Wednsday,6-4-2014,19,50,23
3718,Wednsday,6-4-2014,21,46,23
3720,Wednsday,6-4-2014,23,48,23
3866,Wednsday,6-11-2014,1,92,24
3868,Wednsday,6-11-2014,3,102,24
3870,Wednsday,6-11-2014,5,72,24
3872,Wednsday,6-11-2014,7,38,24
3874,Wednsday,6-11-2014,9,91,24
3876,Wednsday,6-11-2014,11,17,24
3878,Wednsday,6-11-2014,13,17,24
3880,Wednsday,6-11-2014,15,16,24
3882,Wednsday,6-11-2014,17,17,24
3884,Wednsday,6-11-2014,19,19,24
3886,Wednsday,6-11-2014,21,31,24
3888,Wednsday,6-11-2014,23,40,24
4034,Wednsday,6-18-2014,1,67,25
4036,Wednsday,6-18-2014,3,58,25
4038,Wednsday,6-18-2014,5,72,25
4040,Wednsday,6-18-2014,7,64,25
4042,Wednsday,6-18-2014,9,43,25
4044,Wednsday,6-18-2014,11,37,25
4046,Wednsday,6-18-2014,13,28,25
4048,Wednsday,6-18-2014,15,49,25
4052,Wednsday,6-18-2014,19,73,25
4054,Wednsday,6-18-2014,21,94,25
4056,Wednsday,6-18-2014,23,123,25
4202,Wednsday,6-25-2014,1,59,26
4204,Wednsday,6-25-2014,3,78,26
4206,Wednsday,6-25-2014,5,75,26
4208,Wednsday,6-25-2014,7,92,26
4210,Wednsday,6-25-2014,9,109,26
4212,Wednsday,6-25-2014,11,114,26
4214,Wednsday,6-25-2014,13,104,26
4216,Wednsday,6-25-2014,15,114,26
4218,Wednsday,6-25-2014,17,112,26
4220,Wednsday,6-25-2014,19,112,26
4222,Wednsday,6-25-2014,21,125,26
4224,Wednsday,6-25-2014,23,136,26
4370,Wednsday,7-2-2014,1,28,27
4372,Wednsday,7-2-2014,3,42,27
4374,Wednsday,7-2-2014,5,49,27
4376,Wednsday,7-2-2014,7,42,27
4378,Wednsday,7-2-2014,9,39,27
4380,Wednsday,7-2-2014,11,42,27
4382,Wednsday,7-2-2014,13,56,27
4384,Wednsday,7-2-2014,15,70,27
4386,Wednsday,7-2-2014,17,86,27
4388,Wednsday,7-2-2014,19,89,27
4390,Wednsday,7-2-2014,21,118,27
4392,Wednsday,7-2-2014,23,109,27
4538,Wednsday,7-9-2014,1,55,28
4540,Wednsday,7-9-2014,3,27,28
4542,Wednsday,7-9-2014,5,25,28
4544,Wednsday,7-9-2014,7,15,28
4546,Wednsday,7-9-2014,9,33,28
4548,Wednsday,7-9-2014,11,21,28
4550,Wednsday,7-9-2014,13,14,28
4552,Wednsday,7-9-2014,15,13,28
4554,Wednsday,7-9-2014,17,11,28
4556,Wednsday,7-9-2014,19,37,28
4558,Wednsday,7-9-2014,21,46,28
4560,Wednsday,7-9-2014,23,60,28
4706,Wednsday,7-16-2014,1,100,29
4708,Wednsday,7-16-2014,3,82,29
4710,Wednsday,7-16-2014,5,71,29
4712,Wednsday,7-16-2014,7,67,29
4714,Wednsday,7-16-2014,9,143,29
4716,Wednsday,7-16-2014,11,165,29
4718,Wednsday,7-16-2014,13,181,29
4720,Wednsday,7-16-2014,15,185,29
4722,Wednsday,7-16-2014,17,155,29
4724,Wednsday,7-16-2014,19,77,29
4726,Wednsday,7-16-2014,21,65,29
4728,Wednsday,7-16-2014,23,39,29
4874,Wednsday,7-23-2014,1,21,30
4876,Wednsday,7-23-2014,3,25,30
4878,Wednsday,7-23-2014,5,18,30
4880,Wednsday,7-23-2014,7,23,30
4882,Wednsday,7-23-2014,9,20,30
4884,Wednsday,7-23-2014,11,21,30
4886,Wednsday,7-23-2014,13,21,30
4888,Wednsday,7-23-2014,15,26,30
4890,Wednsday,7-23-2014,17,26,30
4892,Wednsday,7-23-2014,19,30,30
4894,Wednsday,7-23-2014,21,59,30
4896,Wednsday,7-23-2014,23,49,30
5042,Wednsday,7-30-2014,1,61,31
5044,Wednsday,7-30-2014,3,38,31
5046,Wednsday,7-30-2014,5,97,31
5048,Wednsday,7-30-2014,7,114,31
5050,Wednsday,7-30-2014,9,141,31
5052,Wednsday,7-30-2014,11,137,31
5054,Wednsday,7-30-2014,13,153,31
5056,Wednsday,7-30-2014,15,154,31
5058,Wednsday,7-30-2014,17,143,31
5060,Wednsday,7-30-2014,19,168,31
5062,Wednsday,7-30-2014,21,199,31
5064,Wednsday,7-30-2014,23,216,31
5210,Wednsday,8-6-2014,1,41,32
5212,Wednsday,8-6-2014,3,57,32
5214,Wednsday,8-6-2014,5,71,32
5216,Wednsday,8-6-2014,7,77,32
5218,Wednsday,8-6-2014,9,49,32
5220,Wednsday,8-6-2014,11,27,32
5222,Wednsday,8-6-2014,13,14,32
5224,Wednsday,8-6-2014,15,3,32
5226,Wednsday,8-6-2014,17,6,32
5228,Wednsday,8-6-2014,19,18,32
5230,Wednsday,8-6-2014,21,30,32
5232,Wednsday,8-6-2014,23,60,32
5378,Wednsday,8-13-2014,1,24,33
5380,Wednsday,8-13-2014,3,27,33
5382,Wednsday,8-13-2014,5,27,33
5384,Wednsday,8-13-2014,7,36,33
5386,Wednsday,8-13-2014,9,38,33
5388,Wednsday,8-13-2014,11,47,33
5390,Wednsday,8-13-2014,13,29,33
5392,Wednsday,8-13-2014,15,22,33
5394,Wednsday,8-13-2014,17,27,33
5398,Wednsday,8-13-2014,21,29,33
5400,Wednsday,8-13-2014,23,21,33
5546,Wednsday,8-20-2014,1,85,34
5548,Wednsday,8-20-2014,3,99,34
5550,Wednsday,8-20-2014,5,108,34
5552,Wednsday,8-20-2014,7,117,34
5554,Wednsday,8-20-2014,9,140,34
5556,Wednsday,8-20-2014,11,149,34
5558,Wednsday,8-20-2014,13,85,34
5560,Wednsday,8-20-2014,15,101,34
5562,Wednsday,8-20-2014,17,126,34
5566,Wednsday,8-20-2014,21,92,34
5568,Wednsday,8-20-2014,23,99,34
5714,Wednsday,8-27-2014,1,39,35
5716,Wednsday,8-27-2014,3,56,35
5718,Wednsday,8-27-2014,5,39,35
5720,Wednsday,8-27-2014,7,25,35
5722,Wednsday,8-27-2014,9,27,35
5724,Wednsday,8-27-2014,11,29,35
5726,Wednsday,8-27-2014,13,49,35
5728,Wednsday,8-27-2014,15,54,35
5730,Wednsday,8-27-2014,17,70,35
5732,Wednsday,8-27-2014,19,71,35
5734,Wednsday,8-27-2014,21,84,35
5736,Wednsday,8-27-2014,23,98,35
5882,Wednsday,9-3-2014,1,19,36
5884,Wednsday,9-3-2014,3,16,36
5886,Wednsday,9-3-2014,5,13,36
5888,Wednsday,9-3-2014,7,11,36
5890,Wednsday,9-3-2014,9,23,36
5892,Wednsday,9-3-2014,11,16,36
5894,Wednsday,9-3-2014,13,15,36
5896,Wednsday,9-3-2014,15,16,36
5898,Wednsday,9-3-2014,17,17,36
5900,Wednsday,9-3-2014,19,13,36
5902,Wednsday,9-3-2014,21,18,36
5904,Wednsday,9-3-2014,23,26,36
6050,Wednsday,9-10-2014,1,50,37
6052,Wednsday,9-10-2014,3,55,37
6054,Wednsday,9-10-2014,5,85,37
6056,Wednsday,9-10-2014,7,100,37
6058,Wednsday,9-10-2014,9,114,37
6060,Wednsday,9-10-2014,11,124,37
6062,Wednsday,9-10-2014,13,83,37
6064,Wednsday,9-10-2014,15,35,37
6066,Wednsday,9-10-2014,17,41,37
6068,Wednsday,9-10-2014,19,51,37
6070,Wednsday,9-10-2014,21,63,37
6072,Wednsday,9-10-2014,23,88,37
6218,Wednsday,9-17-2014,1,36,38
6220,Wednsday,9-17-2014,3,19,38
6222,Wednsday,9-17-2014,5,17,38
6224,Wednsday,9-17-2014,7,20,38
6226,Wednsday,9-17-2014,9,25,38
6228,Wednsday,9-17-2014,11,71,38
6230,Wednsday,9-17-2014,13,100,38
6232,Wednsday,9-17-2014,15,80,38
6234,Wednsday,9-17-2014,17,49,38
6236,Wednsday,9-17-2014,19,33,38
6238,Wednsday,9-17-2014,21,52,38
6240,Wednsday,9-17-2014,23,54,38
6386,Wednsday,9-24-2014,1,40,39
6388,Wednsday,9-24-2014,3,40,39
6390,Wednsday,9-24-2014,5,11,39
6392,Wednsday,9-24-2014,7,12,39
6394,Wednsday,9-24-2014,9,14,39
6396,Wednsday,9-24-2014,11,22,39
6398,Wednsday,9-24-2014,13,15,39
6400,Wednsday,9-24-2014,15,15,39
6402,Wednsday,9-24-2014,17,21,39
6404,Wednsday,9-24-2014,19,41,39
6406,Wednsday,9-24-2014,21,68,39
6408,Wednsday,9-24-2014,23,87,39
6554,Wednsday,10-1-2014,1,78,40
6556,Wednsday,10-1-2014,3,73,40
6558,Wednsday,10-1-2014,5,55,40
6560,Wednsday,10-1-2014,7,43,40
6562,Wednsday,10-1-2014,9,63,40
6564,Wednsday,10-1-2014,11,78,40
6566,Wednsday,10-1-2014,13,68,40
6568,Wednsday,10-1-2014,15,67,40
6570,Wednsday,10-1-2014,17,84,40
6572,Wednsday,10-1-2014,19,91,40
6574,Wednsday,10-1-2014,21,90,40
6576,Wednsday,10-1-2014,23,88,40
6722,Wednsday,10-8-2014,1,248,41
6724,Wednsday,10-8-2014,3,215,41
6726,Wednsday,10-8-2014,5,208,41
6728,Wednsday,10-8-2014,7,211,41
6730,Wednsday,10-8-2014,9,210,41
6732,Wednsday,10-8-2014,11,238,41
6734,Wednsday,10-8-2014,13,252,41
6736,Wednsday,10-8-2014,15,297,41
6738,Wednsday,10-8-2014,17,370,41
6740,Wednsday,10-8-2014,19,388,41
6742,Wednsday,10-8-2014,21,402,41
6744,Wednsday,10-8-2014,23,384,41
6890,Wednsday,10-15-2014,1,130,42
6892,Wednsday,10-15-2014,3,81,42
6894,Wednsday,10-15-2014,5,86,42
6896,Wednsday,10-15-2014,7,83,42
6898,Wednsday,10-15-2014,9,79,42
6900,Wednsday,10-15-2014,11,20,42
6902,Wednsday,10-15-2014,13,13,42
6904,Wednsday,10-15-2014,15,13,42
6906,Wednsday,10-15-2014,17,8,42
6908,Wednsday,10-15-2014,19,9,42
6910,Wednsday,10-15-2014,21,16,42
6912,Wednsday,10-15-2014,23,6,42
